adresse,Date mutation,Valeur fonciere,Code_postal,Commune,Surface reelle bati,Surface terrain,Nombre pieces principales,Code commune,Type local,Valeur foncière au mètre carré,search,longitude,latitude,result_score
1 PAS DU COULON,01/08/2024,136000.0,91670,ANGERVILLE,66.0,61.0,3.0,16,Maison,2060.6060606060605,1 PAS DU COULON 91670 ANGERVILLE,1.998468,48.310623,0.7988793939393939
1 PAS GEORGES MELIES,02/02/2024,170000.0,77200,TORCY,60.0,0.0,3.0,468,Appartement,2833.3333333333335,1 PAS GEORGES MELIES 77200 TORCY,2.651117,48.84012,0.8013721212121212
1 PAS JOSSET,31/10/2024,286000.0,75011,PARIS,30.0,0.0,2.0,111,Appartement,9533.333333333334,1 PAS JOSSET 75011 PARIS,2.376738,48.853133,0.7740520779220779
1 PAS JULIETTE,16/12/2024,435000.0,78220,VIROFLAY,80.0,0.0,4.0,686,Appartement,5437.5,1 PAS JULIETTE 78220 VIROFLAY,2.185734,48.800151,0.7930580165289256
1 PAS LEGRAND,01/03/2024,162000.0,92100,BOULOGNE-BILLANCOURT,29.0,0.0,1.0,12,Appartement,5586.206896551724,1 PAS LEGRAND 92100 BOULOGNE-BILLANCOURT,2.24574,48.833909,0.8437648760330578
1 PAS LEGRAND,06/05/2024,322500.0,92100,BOULOGNE-BILLANCOURT,34.0,0.0,2.0,12,Appartement,9485.29411764706,1 PAS LEGRAND 92100 BOULOGNE-BILLANCOURT,2.24574,48.833909,0.8437648760330578
1 PAS PAILLE,16/09/2024,700000.0,92110,CLICHY,274.0,484.0,5.0,24,Maison,2554.7445255474454,1 PAS PAILLE 92110 CLICHY,2.30371,48.902299,0.7768567711598746
1 PAS POLLUX,30/10/2024,254000.0,91100,VILLABE,74.0,127.0,4.0,659,Maison,3432.4324324324325,1 PAS POLLUX 91100 VILLABE,2.465302,48.58615,0.7696990909090908
1 PAS POTIN,17/04/2024,109000.0,77920,SAMOIS SUR SEINE,55.0,30.0,3.0,441,Maison,1981.8181818181818,1 PAS POTIN 77920 SAMOIS SUR SEINE,2.74972,48.449448,0.7984111483253588
1 PAS PRIVE,27/12/2024,358000.0,93500,PANTIN,55.0,0.0,3.0,55,Appartement,6509.090909090909,1 PAS PRIVE 93500 PANTIN,2.40708,48.893753,0.7706684415584415
